Change,Description,Date
Updated resources,"The following resources were updated: AWS::EC2::Instance, AWS::EC2::SpotFleet, AWS::EC2::Volume. AWS::EC2::Instance Use the EnclaveOptions property to indicate whether the instance is enabled for AWS Nitro Enclaves. AWS::EC2::SpotFleet SpotCapacityRebalance Use the SpotCapacityRebalance property when Amazon EC2 emits a signal that your Spot Instance is at an elevated risk of being interrupted. AWS::EC2::SpotFleet SpotMaintenanceStrategies Use the SpotMaintenanceStrategies property to manage your Spot Instances that are at an elevated risk of being interrupted. . AWS::EC2::Volume Use the Throughput property to specify the throughput that the volume supports, in MiB/s.","December 18, 2020"
Updated resource,"The following resource was updated: AWS::Batch::JobDefinition AWS::Batch::JobDefinition Use the PlatformCapabilities property to specify whether the job requires EC2 or FARGATE resources.  Use the PropagateTags property to specify whether to propagate tags from the job definition to the corresponding Amazon ECS task.  In the ContainerProperties property type:  Use the FargatePlatformConfiguration property to specify the Fargate platform version to use for jobs running on Fargate resources.   Use the NetworkConfiguration property to specify the network configuration for jobs running on Fargate resources.   AWS::Batch::JobDefinition In the ContainerProperties property type, use the FargatePlatformConfiguration property to ....","December 18, 2020"
Updated resource,"The following resource was updated: AWS::FSx::FileSystem AWS::FSx::FileSystemThe StorageCapacity property was updated to ""Required"": conditional.  In the WindowsConfiguration property type, the ThroughputCapacity property was updated to ""Required"": true.","December 18, 2020"
Updated resource,The following resources were updated: AWS::S3::Bucket SourceSelectionCriteria Use the ReplicaModifications property in AWS::S3::Bucket SourceSelectionCriteria to filter modifications on replicas. Amazon S3 Bucket Keys Use the BucketKeyEnabled property to specify an S3 Bucket Key with default encryption using AWS Key Management Service.,"December 18, 2020"
New resources,The following resources were added: AWS::LicenseManager::Grant and AWS::LicenseManager::License. AWS::LicenseManager::Grant Use the AWS::LicenseManager::Grant resource to specify a grant in the AWS License Manager service. AWS::LicenseManager::License Use the AWS::LicenseManager::License resource to specify a granted license in the AWS License Manager service.,"December 18, 2020"
New resources,"The following resources were added: AWS::DevOpsGuru::NotificationChannel, AWS::DevOpsGuru::AWS::DevOpsGuru::ResourceCollection AWS::DevOpsGuru::NotificationChannel Use the AWS::DevOpsGuru::NotificationChannel resource to add a notification channel to Amazon DevOps Guru. The notification channel is used to notify you about important events. For example, the creation of an insight or a change in an insight's severity. AWS::DevOpsGuru::ResourceCollection Use the AWS::DevOpsGuru::ResourceCollection resource to specify a collection of resources in your account that you want Amazon DevOps Guru to analyze. The specified resources are analyzed to generate insights that contain recommendations, related metrics, and operational data to help you improve the performance of your operational solutions.","December 18, 2020"
New resources,"The following resources were added: AWS::SageMaker::DataQualityJobDefinition, AWS::SageMaker::Device, AWS::SageMaker::DeviceFleet, AWS::SageMaker::ModelBiasJobDefinition, AWS::SageMaker::ModelExplainabilityJobDefinition, AWS::SageMaker::ModelQualityJobDefinition, AWS::SageMaker::ModelPackageGroup, and AWS::SageMaker::Pipeline. AWS::SageMaker::DataQualityJobDefinition Use the AWS::SageMaker::DataQualityJobDefinition resource to create a monitoring job that monitors drift in data quality. AWS::SageMaker::Device Use the AWS::SageMaker::Device resource to register your Devices against an existing SageMaker Edge Manager DeviceFleet. Each device must be listed individually in the CFN specification. AWS::SageMaker::DeviceFleet Use the AWS::SageMaker::DeviceFleet resource to create a DeviceFleet that manages your SageMaker Edge Manager Devices. You must register your devices against the DeviceFleet separately. AWS::SageMaker::ModelBiasJobDefinition Use the AWS::SageMaker::ModelBiasJobDefinition resource to create a monitoring job that monitors potential bias in your model. AWS::SageMaker::ModelExplainabilityJobDefinition Use the AWS::SageMaker::ModelExplainabilityJobDefinition resource to create a monitoring job that monitors feature attribution drift in your model. AWS::SageMaker::ModelQualityJobDefinition Use the AWS::SageMaker::ModelQualityJobDefinition resource to create a monitoring job that monitors quality drift in your model. AWS::SageMaker::ModelPackageGroup Use the AWS::SageMaker::ModelPackageGroup resource to create a a group of related models. AWS::SageMaker::Pipeline Use the AWS::SageMaker::Pipeline resource to specify shell scripts that run when you create and/or start a SageMaker Pipeline. For information about SageMaker Pipelines, see SageMaker Pipelines in the Amazon SageMaker Developer Guide.","December 18, 2020"
New resources,"The following resources were added: AWS::ElastiCache::User and AWS::ElastiCache::UserGroup. AWS::ElastiCache::UserFor Redis engine version 6.x onwards: Creates a Redis user. For more information, see Using Role Based Access Control (RBAC) AWS::ElastiCache::UserGroupFor Redis engine version 6.x onwards: Creates a Redis user group. For more information, see Using Role Based Access Control (RBAC)","December 18, 2020"
New resources,The following resources were added: AWS::EC2::NetworkInsightsPath and AWS::EC2::NetworkInsightsAnalysis. AWS::EC2::NetworkInsightsPath Use the NetworkInsightsPath property to specify a path to analyze for reachability. AWS::EC2::NetworkInsightsAnalysis Use the NetworkInsightsAnalysis property to specify a network insights analysis.,"December 18, 2020"
New resources,"The following resources were added: AWS::CloudFormation::ModuleDefaultVersion and AWS::CloudFormation::ModuleVersion. AWS::CloudFormation::ModuleDefaultVersion Use the AWS::CloudFormation::ModuleDefaultVersion resource to specify the default version of a module, which will be used in CloudFormation operations for this account and region. AWS::CloudFormation::ModuleVersion Use the AWS::CloudFormation::ModuleVersion resource to register the specified version of the module with the CloudFormation service, making it available for use in CloudFormation templates in this account and region.","December 18, 2020"
New resource,The following resource was added: AWS::AuditManager::Assessment AWS::AuditManager::Assessment Use the AWS::AuditManager::Assessment resource to specify a new assessment in AWS Audit Manager.,"December 18, 2020"
New resource,The following resources were added: AWS::GreengrassV2::ComponentVersion. AWS::GreengrassV2::ComponentVersion Use the AWS::GreengrassV2::ComponentVersion resource to create a new component version in AWS IoT Greengrass.,"December 18, 2020"
New resource,The following resource is new: AWS::IoT::TopicRuleDestination AWS::IoT::TopicRuleDestination Use the AWS::IoT::TopicRuleDestination to specify a topic rule destination.,"December 18, 2020"
New resource,"The following resources were added: AWS::IoTSitewise::AccessPolicy, AWS::IoTSiteWise::Dasboard, AWS::IoTSiteWise::Portal, and AWS::IoTSiteWise::Project. AWS::IoTSiteWise::AccessPolicy Use the AWS::IoTSiteWise::AccessPolicy resource to create a new access policy in AWS IoT SiteWise. AWS::IoTSiteWise::Dasboard Use the AWS::IoTSiteWise::Dasboard resource to create a new dashboard in AWS IoT SiteWise. AWS::IoTSiteWise::Portal Use the AWS::IoTSiteWise::Portal resource to create a new portal in AWS IoT SiteWise. AWS::IoTSiteWise::Project Use the AWS::IoTSiteWise::Project resource to create a new project in AWS IoT SiteWise.","December 18, 2020"
New resource,"The following resources were updated: AWS::Lambda::CreateEventSourceMapping and AWS::Lambda::Function. AWS::Lambda::EventSourceMapping Use the TumblingWindowInSeconds property to set the window size for SQS event sources. Lambda now supports a Self-Managed Apache Kafka cluster as an event source. AWS::Lambda::FunctionLambda now supports functions deployed as container images.  Use the ImageUri property to specify the container image location.  In the Code property type, new property ImageUri specifies the image to associate with your Lambda function.","December 18, 2020"
New resource,The following resource was added: AWS::SSO::InstanceAccessControlAttributeConfiguration. AWS::SSO::InstanceAccessControlAttributeConfiguration Use the AWS::SSO::InstanceAccessControlAttributeConfiguration resource to configure attribute-based access control (ABAC) in AWS SSO.,"December 18, 2020"
Updated resource,The following resource was updated to support specifying a capacity type for a node group: AWS::EKS::Nodegroup. AWS::EKS::Nodegroup Use the CapacityType property to specify whether you want to use Spot or On-Demand instance types for your node group.,"December 17, 2020"
Updated resource,The following resource was updated: AWS::GameLift::MatchmakingConfiguration. AWS::GameLift::MatchmakingConfiguration Use the FlexMatchMode property to specify that the matchmaker is for a standalone FlexMatch solution or for matchmaking with GameLift managed hosting.,"November 24, 2020"
Updated resource,"The following resource was updated: AWS::Lambda::CreateEventSourceMapping. AWS::Lambda::EventSourceMapping.BatchSizeThe BatchSize has been increased for standard SQS queues, and allows for the use of a MaximumBatchingWindowInSeconds.","November 24, 2020"
Modules,"Modules are a way for you to package resource configurations for inclusion across stack templates, in a transparent, manageable, and repeatable way. Modules can encapsulate common service configurations and best practices as modular, customizable building blocks for you to include in your stack templates. For more information, see Using modules to encapsulate and reuse resource configurations.","November 24, 2020"
New resource,The following resource was added: AWS::Lambda::CodeSigningConfig. AWS::Lambda::CodeSigningConfig Use the CodeSigningConfig resource to specify code-signing capability to your Lambda functions.,"November 23, 2020"
Updated resource,The following resource was updated: AWS::Amplify::App AWS::Amplify::App Use the CustomHeaders property to declare custom headers for each HTTP request made to your Amplify Apps.,"November 19, 2020"
Updated resource,The following resources were updated: AWS::EC2::LaunchTemplate and AWS::EC2::ClientVpnEndpoint. AWS::EC2::ClientVpnEndpoint Use the ClientConnectOptions property to indicate whether client connect options are used for Client VPN. AWS::EC2::LaunchTemplate Use the AssociateCarrierIpAddress property to indicates whether to associate a Carrier IP address with eth0 for a new network interface. AWS::EC2::LaunchTemplate Use the EnclaveOptions property to indicate whether the instance is enabled for AWS Nitro Enclaves. AWS::EC2::LaunchTemplate Use the NetworkCardIndex property to specify the network card index.,"November 19, 2020"
Updated resource,The following resource was updated: AWS::ElastiCache::GlobalReplicationGroup. AWS::ElastiCache::GlobalReplicationGroupConsists of a primary cluster that accepts writes and an associated secondary cluster that resides in a different AWS region. The secondary cluster accepts only reads. The primary cluster automatically replicates updates to the secondary cluster.,"November 19, 2020"
Updated resource,The following resource was upded: AWS::Events::EventBusPolicy. AWS::Events::EventBusPolicyAdded the Statement property.  Use the Statement property to add a statement to the policy attached to an event bus.,"November 19, 2020"
Updated resource,"The following resource was updated: AWS::KMS::Key. AWS::KMS::KeyAdded support for asymmetric CMKs, including the KeySpec property and the SIGN_VERIFY value for the KeyUsage property.","November 19, 2020"
Update resource,"The following resource was updated: AWS::CloudFront::Distribution. AWS::CloudFront::Distribution In the CacheBehavior and DefaultCacheBehavior property types, use the TrustedKeyGroups property to specify a list of the key groups that CloudFront can use to verify signed URLs or signed cookies. For more information, see Serving private content in the Amazon CloudFront Developer Guide.","November 19, 2020"
New resources,"The following resources were added: AWS::CloudFront::KeyGroup and AWS::CloudFront::PublicKey. AWS::CloudFront::KeyGroup Use the AWS::CloudFront::KeyGroup resource to create a key group in Amazon CloudFront to use with CloudFront signed URLs and signed cookies. For more information, see Serving private content in the Amazon CloudFront Developer Guide. AWS::CloudFront::PublicKey Use the AWS::CloudFront::PublicKey resource to create a public key in Amazon CloudFront to use with CloudFront signed URLs and signed cookies, or with field-level encryption. For more information, see Serving private content or Using field-level encryption to help protect sensitive data in the Amazon CloudFront Developer Guide.","November 19, 2020"
New resource,The following resource was added: AWS::Glue::Registry AWS::Glue::Registry Use the AWS::Glue::Registry resource to manage registries in the AWS Glue Schema Registry.,"November 19, 2020"
New resource,The following resource was added: AWS::Glue::Schema AWS::Glue::Schema Use the AWS::Glue::Schema resource to manage schemas in the AWS Glue Schema Registry.,"November 19, 2020"
New resource,The following resource was added: AWS::Glue::SchemaVersion AWS::Glue::SchemaVersion Use the AWS::Glue::SchemaVersion resource to manage schema versions in the AWS Glue Schema Registry.,"November 19, 2020"
New resource,The following resource was added: AWS::Glue::SchemaVersionMetadata AWS::Glue::SchemaVersionMetadata Use the AWS::Glue::SchemaVersionMetadata resource to manage schema version metadata in the AWS Glue Schema Registry.,"November 19, 2020"
New resource,The following resource is new: AWS::IoT::TopicRuleDestination AWS::IoT::TopicRuleDestination Use the AWS::IoT::TopicRuleDestination to specify a topic rule destination.,"November 19, 2020"
New resource,"The following resources were added: AWS::NetworkFirewall::Firewall, AWS::NetworkFirewall::FirewallPolicy, AWS::NetworkFirewall::LoggingConfiguration, and AWS::NetworkFirewall::RuleGroup AWS::NetworkFirewall::Firewall Use the AWS::NetworkFirewall::Firewall resource to specify stateful, managed, network firewall and intrusion detection and prevention for your VPCs in Amazon VPC. AWS::NetworkFirewall::FirewallPolicy Use the AWS::NetworkFirewall::FirewallPolicy resource to specify the stateless and stateful network traffic filtering behavior for your AWS::NetworkFirewall::Firewall. AWS::NetworkFirewall::LoggingConfiguration Use the AWS::NetworkFirewall::LoggingConfiguration resource to specify the destinations and logging options for an AWS::NetworkFirewall::Firewall. AWS::NetworkFirewall::RuleGroup Use the AWS::NetworkFirewall::RuleGroup resource to specify a reusable collection of stateless or stateful network traffic filtering rules for use in your AWS::NetworkFirewall::FirewallPolicy.","November 19, 2020"
New resource,The following resource was added: AWS::S3::StorageLens S3 Storage Lens Use the AWS::S3::StorageLens resource to create a S3 Storage Lens configuration in the Amazon Simple Storage Service.,"November 19, 2020"
Change sets for nested stacks,"With change sets for nested stacks you can preview the changes to your application and infrastructure resources across the entire nested stack hierarchy and proceed with updates when you’ve confirmed that all the changes are as intended. For more information, see Change sets for nested stacks.","November 18, 2020"
Updated resource,The following resources were updated: AWS::EC2::Route and AWS::EC2::VPCEndpointService. AWS::EC2::Route Use the VpcEndpointId property to create a route to a Gateway Load Balancer endpoint. AWS::EC2::VPCEndpointService Use the GatewayLoadBalancerArns property to specify a Gateway Load Balancer for your VPC endpoint service.,"November 12, 2020"
Updated resource,The following resource was updated: AWS::Kendra::DataSource. AWS::Kendra::DataSource Use the new CUSTOM value to specify the custom data sources.,"November 12, 2020"
New resources: AWS Glue DataBrew,This is the first release of AWS Glue DataBrew.,"November 12, 2020"
New resource,The following resource was updated: AWS::AppMesh::VirtualNode and AWS::AppMesh::VirtualGateway AWS::AppMesh::VirtualNode Use the ConnectionPool property to specify the type of connection pool for the listener.  Use the VirtualNodeHttp2ConnectionPool property to specify an http2 type of connection pool.  Use the VirtualNodeGrpcConnectionPool property to specify a grpc type of connection pool.  Use the VirtualNodeConnectionPool property to specify the type of virtual node connection pool.  Use the VirtualNodeHttpConnectionPool property to specify an http type of connection pool.  Use the OutlierDetection property to specify the type of outlier detection for the listener.  Use the VirtualNodeTcpConnectionPool property to specify an http2 type of connection pool. AWS::AppMesh::VirtualGateway Use the ConnectionPool property to specify the type of connection pool for the listener.  Use the VirtualGatewayHttpConnectionPool property to specify an http type of connection pool.  Use the VirtualGatewayHttp2ConnectionPool property to specify an http2 type of connection pool.  Use the VirtualGatewayConnectionPool property to specify the type of virtual gateway connection pool.  Use the VirtualGatewayGrpcConnectionPool property to specify a grpc type of connection pool.,"November 12, 2020"
Updated resource,The following resources were updated: AWS::S3::Bucket IntelligentTieringConfiguration Use the IntelligentTieringConfiguration property to specify an S3 Intelligent-Tiering configuration. OwnershipControls Use the OwnershipControls property to specify object ownership on a bucket.,"November 9, 2020"
Updated resources,The following resources were updated: AWS::CodeArtifact::Domain and AWS::CodeArtifact::Repository. AWS::CodeArtifact::DomainThe AWS::CodeArtifact::Domain resource now supports tags. AWS::CodeArtifact::RepositoryThe AWS::CodeArtifact::Repository resource now supports tags.,"November 5, 2020"
Updated resource,The following resource was updated: AWS::AutoScaling::AutoScalingGroup. CapacityRebalance Use the CapacityRebalance property to indicate whether Capacity Rebalancing is enabled.,"November 5, 2020"
Updated resource,"The following resource was updated: AWS::Batch::JobDefinition AWS::Batch::JobDefinition In the RetryStrategy property type, use the EvaluateOnExit property to specify a set of conditions to be met, and an action to take (RETRY or EXIT) if all conditions are met.","November 5, 2020"
Updated resource,The following resource was updated: AWS::EC2::Route. AWS::EC2::Route Use the CarrierGatewayId property to create a route to a carrier gateway.,"November 5, 2020"
Updated resource,The following resource was updated: AWS::Lambda::EventSourceMapping. AWS::Lambda::EventSourceMapping Use the Queues property to specify the Amazon MQ queue to stream to a Lambda function.  Use the Source access configuration property to specify the Secrets Manager secret that stores your MQ broker credentials.,"November 5, 2020"
New resource,The following new resource was added: AWS::Events::Archive. AWS::Events::Archive Use the Archive resource to create an EventBridge archive to store events in.,"November 5, 2020"
New resource,The following resource was added: AWS::IoT::DomainConfiguration. AWS::IoT::DomainConfiguration Use the AWS::IoT::DomainConfiguration resource to specify a domain configuration in AWS IoT Core.,"November 5, 2020"
New resource,The following resource was added: AWS::RDS::GlobalCluster. AWS::RDS::GlobalCluster Use the AWS::RDS::GlobalCluster resource to create or update an Aurora global database cluster.,"November 5, 2020"
New resource,The following resource was added: AWS::SES::ContactList AWS::SES::ContactList Use the ContactList resource to create a list that contains contacts that have subscribed to a particular topic or topics.,"November 5, 2020"
Updated resource,"The following resources were updated: AWS::AmazonMQ::Broker, AWS::AmazonMQ::Configuration, AWS::AmazonMQ::ConfigurationAssociation AWS::AmazonMQ::BrokerAmazon MQ now supports RabbitMQ broker engine.","November 4, 2020"
New resources,"The following resources were added: AWS::IVS::Channel, AWS::IVS::StreamKey, and AWS::IVS::PlaybackKeyPair AWS::IVS::Channel Use the AWS::IVS::Channel resource to specify an Amazon IVS Channel, which stores configuration information related to your live stream. AWS::IVS::StreamKey Use the AWS::IVS::StreamKey resource to specify an Amazon IVS Stream Key, which creates a stream key for the specified IVS Channel.  Use a stream key to initiate a live stream. AWS::IVS::PlaybackKeyPair Use the AWS::IVS::PlaybackKeyPair resource to specify an Amazon IVS PlaybackKeyPair, which is used to sign and validate a playback authorization token for a private channel.","October 29, 2020"
New resource,"The following resources were added: AWS::IoTSitewise::Asset, AWS::IoTSiteWise::AssetModel, and AWS::IoTSiteWise::Gateway. AWS::IoTSiteWise::Asset Use the AWS::IoTSiteWise::Asset resource to create a new asset in AWS IoT SiteWise. AWS::IoTSiteWise::AssetModel Use the AWS::IoTSiteWise::AssetModel resource to create a new asset model in AWS IoT SiteWise. AWS::IoTSiteWise::Gateway Use the AWS::IoTSiteWise::Gateway resource to create a new gateway in AWS IoT SiteWise.","October 28, 2020"
Updated resource,The following resource was updated: AWS::AutoScaling::AutoScalingGroup. AWS::AutoScaling::AutoScalingGroup Use the NewInstancesProtectedFromScale In property to specify whether newly launched instances are protected from termination by Amazon EC2 Auto Scaling when scaling in.,"October 26, 2020"
Updated resources,The following resources were updated: AWS::AppStream::Fleet and AWS::AppStream::ImageBuilder AWS::AppStream::Fleet Use the IAMRoleArn property to specify an ARN for the IAM role to apply to the fleet.  Use the StreamView property to specify the AppStream 2.0 view that is displayed to your users when they stream from the fleet. AWS::AppStream::ImageBuilder Use the IAMRoleArn property to specify an ARN for the IAM role to apply to the image builder.,"October 22, 2020"
Updated resources,"The following resources were updated: AWS::Batch::ComputeEnvironment, AWS::Batch::JobDefinition, and AWS::Batch::JobQueue. AWS::Batch::ComputeEnvironment Use the Tags property to specify tags for the compute environment. AWS::Batch::JobDefinition Use the Tags property to specify tags for the job definition. AWS::Batch::JobQueue Use the Tags property to specify tags for the job queue.","October 22, 2020"
Updated resource,The following resource was updated: AWS::AppSync::ApiKey. AWS::AppSync::ApiKey Use the ApiKeyID property to specify the API key ID.,"October 22, 2020"
Updated resource,"The following resource was updated: AWS::CloudFront::Distribution. AWS::CloudFront::Distribution In the Origin property type, use the OriginShield property to enable CloudFront Origin Shield. For more information, see Using Origin Shield in the Amazon CloudFront Developer Guide.","October 22, 2020"
Updated resource,The following resource was updated: AWS::Elasticsearch::Domain. AWS::Elasticsearch::Domain In the ElasticsearchClusterConfig property type:  Use the WarmCount property to specify the number of warm nodes in the cluster.   Use the WarmEnabled property to specify whether to enable warm storage for the cluster.   Use the WarmType property to specify the instance type for the cluster's warm nodes.,"October 22, 2020"
Updated resource,The following resource was updated: AWS::EMR::Cluster. AWS::EMR::Cluster Use the LogEncryptionKmsKeyId property to specify the AWS KMS customer master key (CMK) used for encrypting log files.  Use the ManagedScalingPolicy property to create a managed scaling policy for an Amazon EMR cluster.  Use the StepConcurrencyLevel property to specify the number of steps that can be executed concurrently.,"October 22, 2020"
Updated resource,The following resource was updated: AWS::Events::Rule. AWS::Events::RuleAdded AWS::Events::Rule DeadLetterConfig Added AWS::Events::Rule RetryPolicy AWS::Events::Rule TargetAdded the DeadLetterConfig property of the Target property type. Added the RetryPolicy property of the Target property type.,"October 22, 2020"
Updated resource,"Added a new property, FileFormat, to the FAQ resource. For more information, see https://docs.aws.amazon.com/kendra/latest/dg/in-creating-faq.html","October 22, 2020"
Updated resource,The following resource was updated: AWS::KinesisFirehose::DeliveryStream AWS::KinesisFirehose::DeliveryStreamDeliveryStreamEncryptionConfigurationInput property type is now supported for the delivery streams in CloudFormation.,"October 22, 2020"
Updated resource,The following resource was updated: AWS::SNS::Topic. AWS::SNS::Topic Use the ContentBasedDeduplication property to enable content-based deduplication for FIFO topics.  Use the FifoTopic property to create a FIFO topic.,"October 22, 2020"
Updated resource,"The following resource was updated: AWS::Transfer::Server. AWS::Transfer::Server In the EndpointDetails property type, use the SecurityGroupIds property to specify a list of security groups IDs that are available to attach to your server's endpoint.","October 22, 2020"
New resources,"The following resources were added: AWS::MediaPackage::Asset, AWS::MediaPackage::Channel, , AWS::MediaPackage::OriginEndpoint, AWS::MediaPackage::PackagingConfiguration, and AWS::MediaPackage::PackagingGroup. AWS::MediaPackage::Asset. Use the AWS::MediaPackage::Asset to specify an asset to ingest VOD content. AWS::MediaPackage::Channel. Use the AWS::MediaPackage::Channel to specify a channel to receive content. AWS::MediaPackage::OriginEndpoint. Use the AWS::MediaPackage::OriginEndpoint to specify an endpoint on an AWS Elemental MediaPackage channel. AWS::MediaPackage::PackagingConfiguration. Use the AWS::MediaPackage::PackagingConfiguration to specify a packaging configuration in a packaging group. AWS::MediaPackage::PackagingGroup. Use the AWS::MediaPackage::PackagingGroup to specify a packaging group.","October 22, 2020"
New resource,The following new resource was added: BlockPublicPolicy Resource Policies Use the BlockPublicPolicy when adding resource policies to Secrets Manager.,"October 22, 2020"
Increased quotas,The following AWS CloudFormation quotas have been updated. You can now declare a maximum of 200 mappings in your AWS CloudFormation template.  You can now declare a maximum of 200 mapping attributes for each mapping in your AWS CloudFormation template.  You can now declare a maximum of 200 outputs in your AWS CloudFormation template.  You can now declare a maximum of 200 parameters in your AWS CloudFormation template.  You can now declare a maximum of 500 resources in your AWS CloudFormation template.  You can now pass a template body with a maximum size of 1 MB in an Amazon S3 object.,"October 22, 2020"
Updated resource,The following resource was updated: AWS::AmazonMQ::Broker. AWS::AmazonMQ::Broker Use the LdapServerMetadata property to to authenticate and authorize connections to a broker.,"October 9, 2020"
Updated resource,"The following resource was updated: AWS::Backup::BackupPlan AWS::Backup::BackupPlan In the BackupPlanResourceType property type, use the AdvancedBackupSetting property to specify a list of backup options for each resource type you want to back up.","October 8, 2020"
Updated resource,"The following resource was: AWS::EKS::Cluster. AWS::EKS::Cluster Use the KubernetesNetworkConfig property to specify a Kubernetes network configuration.  In the AWS::EKS::Cluster KubernetesNetworkConfig property type, use the ServiceIpv4Cidr property to specify the CIDR block that you want Kubernetes to assign service IP addresses from.","October 8, 2020"
